text,label
Only 1 left in stock! Get in quick!,1
LESS THAN 8 LEFT IN STOCK!,1
You may also like these products,0
Rechargeable,0
1 person is viewing this.,1
Lens Manual Washer,0
3642 BOUGHT,1
Only 2 Left in Stock,1
Want a special deal? Bundle and SAVE UPTO30%,1
Secure payment gateway to ensure safe transactions,0
Buy faster with one-click checkout,0
Flat Top,0
"NO THANKS, I DON'T WANT TO SAVE MONEY",1
1626 people seeing this product right now,1
gifts for wife,0
Ireland EUR,0
THE SET INCLUDES:,0
Chair Accessories,0
Become a member and get free delivery on all orders,0
Only 2 left,1
"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",1
"No thanks, I don't like good deals.",1
Only 3 Left!,1
Moroccan Rugs,0
Get The Look The Full Story Shop Now Read More,0
Get free shipping with the purchase of two more items,1
"Someone in Madrid, Spain just bought",1
2 left,1
High-Waisted Shorts,0
Crochet Baby Patterns,0
PG Picks: Skin Care for Incontinence,0
16 recently purchased it.,1
Perhaps you could...,0
99 people are looking at this right now,1
Confirm order within 20 min to get discounted price,1
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70 About 10 seconds ago",1
Only 11 Left In Stock,1
There is only one product left!,1
Casual Sheath Chiffon Sequins Straps V-neck Sleeveless Bridesmaid Dress,0
Safe and secure payment options,0
Bar Stools,0
Beach Towels & Mats,0
We're excited to welcome you back! We've missed you,0
Only 20 left,1
Rudraksha Recommendations,0
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",1
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",1
Happy Thanksgiving! Enjoy with family and friends,0
ONLY 4 LEFT!,1
"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",0
Rachel Comey,0
Specialist Tools,0
Hurry! Only 1 Left In Stock,1
2 items left,1
Less than 7 left!,1
Plastic,0
Tactical Rifles,0
Functional Cookies,0
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",1
Limited Time Offers,1
New collection is released. Check it out!,0
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",1
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,1
Fashion Forms,0
"Only 3 left , In Stock",1
Menstrual Products,0
65% of our customers added Surefit protection this year.,1
I am very pleased with the service I received.,0
Shipping and Duties,0
Prices may increase soon,1
1 item left,1
"no thanks, I like paying full price",1
Tight Bud,0
'Keeper of Lost Things',0
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",0
"Nah, I'll pay full price",1
"If not satisfied, you can return the product within 30 days",0
Viewed 1040 times in the last 7 days,1
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,1
Hurry! Only 2 left in stock!,1
PopGrip MagSafe Refine by Product Type: PopGrip MagSafe,0
"Available, only 2 left",1
"Gorgeous, lasting high-quality hair color crafted in Italy.",0
Get 5% off on your first purchase with our app,0
"no thanks, I don't like to save",1
OH SHIP! Looks like that page wasn't found,0
"No thanks, I'll pay full price!",1
powered by: Cookie Information,0
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,1
Low Stock Only 2 left,1
ONLY 3 LEFT,1
Availability: Low Stock,1
HURRY ONLY 9 LEFT IN STOCK!,1
Hurry only 2 left,1
Hurry! Only 6 left in stock.,1
Sign up for exclusive offers,0
Secure checkout on all your purchases.,0
Browse by A-Z,0
"NO, I'LL PAY FULL PRICE",1
Real time 30 Visitor right now,1
4 sold in last 5 hours,1
Only 5 Left in Stock. Buy Soon!,1
Lawn Mowers,0
Flowers Trivia:,0
Graphic T-Shirts,0
Enjoy free shipping on all orders,0
"No Thanks, I'd Rather Pay Full Price",1
Offers of the day: Upto 50% off,0
Less than 10 left!,1
Brand New In: Check out our latest collection,0
Thanks! -RMO Team,0
166 people have added this item to cart,1
"estiven in Deer Park, United States purchased PreWash 4 oz",1
3 Left!,1
Limited-time Deal,1
Join in and get extra rewards,0
The World Fair Trade Organization Label guarantees that People Tree follows Fair Trade best practices in our organisation.,0
Buy now or regret later,1
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",1
Looking for your order history?,0
Retro Cordless Edison Bulb Lamp,0
Infrared Night Vision,0
Shoe Care,0
Add on something to make it extra special!,1
Specs,0
Rate & Review,0
Hot Offer. Limited Time,1
Shop Safely And Securely,0
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing,1
6 customers have this in their basket,1
Collegiate Shooting Programs,0
436 users are currently active on our website Just now,1
Clear filter,0
Black / White Refine by Color: Black / White,0
"No, thanks. I don't like great deals.",1
Flex Mount,0
Hurry up! Offer valid till stocks last,1
Out of Stock!,0
Fast and free delivery on all orders above Rs.500,0
Bestseller product selling out fast,1
You have won a discount coupon,0
Clearance Optic Accessories Deals,0
Only 1 left In Stock,1
All consumers in the EU are charged VAT on the purchase of goods and services.,0
Awntech New Yorker Window/Entry Slope Awnin ...,0
Champagne Taittinger,0
1 LEFT,1
Cases for Magsafe Refine by Product Type: Cases for Magsafe,0
You're missing out on the best offers,1
Rose Gold Shoes,0
HURRY! ONLY 2 LEFT!,1
Imported,0
Office Supplies & Decor,0
19 people have viewed this item,1
